LineId,Device,type,time,Content,EventId,EventTemplate,ParameterList
26,Client03,SYSCALL,1584200382.591:4291,"arch=c000003e syscall=257 success=yes exit=9 a0=ffffff9c a1=7fc03c00b8f0 a2=c2 a3=180 items=2 ppid=1832 pid=2056 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=1 comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '257', '=yes', '9', 'a0=ffffff9c', 'a1=7fc03c00b8f0 a2=c2 a3=180', '2', '1832', '2056', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=(none)', '1', 'comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""']"
27,Client03,CWD,1584200382.591:4291,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
28,Client03,PATH,1584200382.591:4291,"item=0 name=""/home/akep/.local/share/gvfs-metadata/"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.local/share/gvfs-metadata/""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
29,Client03,PATH,1584200382.591:4291,"item=1 name=""/home/akep/.local/share/gvfs-metadata/home.42B7G0"" inode=516713 dev=08:01 mode=0100600 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/.local/share/gvfs-metadata/home.42B7G0""', '516713', '08:01', '0100600', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
30,Client03,PROCTITLE,1584200382.591:4291,"proctitle=""/usr/lib/gvfs/gvfsd-metadata""",5ea41cea,"proctitle<*>""","['=""/usr/lib/gvfs/gvfsd-metadata']"
31,Client03,SYSCALL,1584200382.623:4292,"arch=c000003e syscall=257 success=yes exit=9 a0=ffffff9c a1=56430be58670 a2=c2 a3=1b6 items=2 ppid=1832 pid=2056 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=1 comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '257', '=yes', '9', 'a0=ffffff9c', 'a1=56430be58670 a2=c2 a3=1b6', '2', '1832', '2056', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=(none)', '1', 'comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""']"
32,Client03,CWD,1584200382.623:4292,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
33,Client03,PATH,1584200382.623:4292,"item=0 name=""/home/akep/.local/share/gvfs-metadata/"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.local/share/gvfs-metadata/""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
34,Client03,PATH,1584200382.623:4292,"item=1 name=""/home/akep/.local/share/gvfs-metadata/home-2f0477ff.log.7AN6G0"" inode=517922 dev=08:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/.local/share/gvfs-metadata/home-2f0477ff.log.7AN6G0""', '517922', '08:01', '0100644', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
35,Client03,PROCTITLE,1584200382.623:4292,"proctitle=""/usr/lib/gvfs/gvfsd-metadata""",5ea41cea,"proctitle<*>""","['=""/usr/lib/gvfs/gvfsd-metadata']"
