LineId,dayOfWeek,month,day,time,year,pid,pidNumber,Content,EventId,EventTemplate,ParameterList
38,Mon,Mar,9,23:01:18,2020,pid,10737,"[ftp_akep] FAIL DOWNLOAD: Client ""::ffff:10.0.0.9"", ""/files/t.txt"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_akep', 'ffff:10.0.0.9', '""/files/t.txt"", 0', 'sec']"
39,Mon,Mar,9,23:03:11,2020,pid,10865,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
40,Mon,Mar,9,23:03:11,2020,pid,10864,"[ftp_akep] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_akep', 'OK', 'ffff:10.0.0.9']"
41,Mon,Mar,9,23:03:11,2020,pid,10866,"[ftp_akep] OK UPLOAD: Client ""::ffff:10.0.0.9"", ""/files/bash"", 1118122 bytes, 79124.35Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['ftp_akep', 'UPLOAD:', 'ffff:10.0.0.9', '""/files/bash"", 1118122', '79124.35Kbyte/sec']"
42,Mon,Mar,9,23:03:37,2020,pid,10866,"[ftp_akep] OK DOWNLOAD: Client ""::ffff:10.0.0.9"", ""/files/bash"", 1118122 bytes, 45092.55Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['ftp_akep', 'DOWNLOAD:', 'ffff:10.0.0.9', '""/files/bash"", 1118122', '45092.55Kbyte/sec']"
43,Mon,Mar,9,23:03:46,2020,pid,10866,"[ftp_akep] FAIL DOWNLOAD: Client ""::ffff:10.0.0.9"", ""/files/t.txt"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_akep', 'ffff:10.0.0.9', '""/files/t.txt"", 0', 'sec']"
44,Mon,Mar,9,23:03:51,2020,pid,10866,"[ftp_akep] OK DOWNLOAD: Client ""::ffff:10.0.0.9"", ""/files/test2.txt"", 11 bytes, 1.06Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['ftp_akep', 'DOWNLOAD:', 'ffff:10.0.0.9', '""/files/test2.txt"", 11', '1.06Kbyte/sec']"
45,Mon,Mar,9,23:04:19,2020,pid,10956,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
46,Mon,Mar,9,23:04:25,2020,pid,10965,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
47,Mon,Mar,9,23:14:27,2020,pid,11869,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
48,Mon,Mar,9,23:14:33,2020,pid,11878,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
49,Mon,Mar,9,23:15:16,2020,pid,11997,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
50,Mon,Mar,9,23:15:16,2020,pid,11995,"[ftp_adminwp] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_adminwp', 'OK', 'ffff:10.0.0.9']"
51,Sat,Mar,14,12:04:33,2020,pid,7478,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
52,Sat,Mar,14,12:04:39,2020,pid,7487,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
53,Sat,Mar,14,12:05:01,2020,pid,7506,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
54,Sat,Mar,14,12:05:07,2020,pid,7518,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
55,Sat,Mar,14,12:05:35,2020,pid,7544,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
56,Sat,Mar,14,12:05:41,2020,pid,7550,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
57,Sat,Mar,14,12:05:53,2020,pid,7564,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
58,Sat,Mar,14,12:05:59,2020,pid,7570,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
59,Sat,Mar,14,12:07:51,2020,pid,7832,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
60,Sat,Mar,14,12:07:57,2020,pid,7838,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
61,Sat,Mar,14,12:10:02,2020,pid,8056,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
62,Sat,Mar,14,12:10:04,2020,pid,8055,"[ftp_admin] FAIL LOGIN: Client ""::ffff:10.0.0.6""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'FAIL', 'ffff:10.0.0.6']"
63,Sat,Mar,14,12:10:32,2020,pid,8092,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
64,Sat,Mar,14,12:10:32,2020,pid,8091,"[ftp_jdoe] OK LOGIN: Client ""::ffff:10.0.0.6""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jdoe', 'OK', 'ffff:10.0.0.6']"
65,Sat,Mar,14,12:12:40,2020,pid,8421,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
66,Sat,Mar,14,12:12:42,2020,pid,8420,"[ftp_admin] FAIL LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'FAIL', 'ffff:10.0.0.7']"
67,Sat,Mar,14,12:14:59,2020,pid,8588,"CONNECT: Client ""::ffff:10.0.0.7""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.7']
68,Sat,Mar,14,12:14:59,2020,pid,8587,"[ftp_admin] OK LOGIN: Client ""::ffff:10.0.0.7""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'OK', 'ffff:10.0.0.7']"
69,Sat,Mar,14,12:16:02,2020,pid,8651,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
70,Sat,Mar,14,12:16:02,2020,pid,8650,"[ftp_admin] OK LOGIN: Client ""::ffff:10.0.0.6""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'OK', 'ffff:10.0.0.6']"
71,Sat,Mar,14,12:16:22,2020,pid,8678,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
72,Sat,Mar,14,12:16:22,2020,pid,8677,"[ftp_admin] OK LOGIN: Client ""::ffff:10.0.0.6""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'OK', 'ffff:10.0.0.6']"
73,Sat,Mar,14,12:26:40,2020,pid,9248,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
74,Sat,Mar,14,12:26:40,2020,pid,9249,"CONNECT: Client ""::ffff:10.0.0.6""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.6']
75,Sat,Mar,14,12:26:40,2020,pid,9247,"[ftp_admin] OK LOGIN: Client ""::ffff:10.0.0.6""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'OK', 'ffff:10.0.0.6']"
76,Sat,Mar,14,12:26:40,2020,pid,9246,"[ftp_admin] OK LOGIN: Client ""::ffff:10.0.0.6""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_admin', 'OK', 'ffff:10.0.0.6']"
77,Sat,Mar,14,12:26:40,2020,pid,9251,"[ftp_admin] OK UPLOAD: Client ""::ffff:10.0.0.6"", ""/files/Reports_2019.csv"", 10 bytes, 1.48Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['ftp_admin', 'UPLOAD:', 'ffff:10.0.0.6', '""/files/Reports_2019.csv"", 10', '1.48Kbyte/sec']"
78,Sat,Mar,14,12:26:40,2020,pid,9250,"[ftp_admin] OK UPLOAD: Client ""::ffff:10.0.0.6"", ""/files/Reports_2020.csv"", 5 bytes, 0.81Kbyte/sec",205b3f4d,"[<*>] OK <*> Client ""::<*>:<*>"", <*> <*> bytes, <*>","['ftp_admin', 'UPLOAD:', 'ffff:10.0.0.6', '""/files/Reports_2020.csv"", 5', '0.81Kbyte/sec']"
79,Sat,Mar,14,12:28:24,2020,pid,9354,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
80,Sat,Mar,14,12:28:25,2020,pid,9353,"[ftp_jhalley] FAIL LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'FAIL', 'ffff:10.0.0.12']"
81,Sat,Mar,14,12:28:44,2020,pid,9376,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
82,Sat,Mar,14,12:28:44,2020,pid,9375,"[ftp_akep] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_akep', 'OK', 'ffff:10.0.0.9']"
83,Sat,Mar,14,12:29:11,2020,pid,9410,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
84,Sat,Mar,14,12:29:13,2020,pid,9409,"[ftp_jhalley] FAIL LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'FAIL', 'ffff:10.0.0.12']"
85,Sat,Mar,14,12:30:54,2020,pid,9499,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
86,Sat,Mar,14,12:30:55,2020,pid,9498,"[ftp_jhalley] FAIL LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'FAIL', 'ffff:10.0.0.12']"
87,Sat,Mar,14,12:31:16,2020,pid,9523,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
88,Sat,Mar,14,12:31:16,2020,pid,9522,"[ftp_jhalley] OK LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'OK', 'ffff:10.0.0.12']"
89,Sat,Mar,14,12:32:29,2020,pid,9592,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
90,Sat,Mar,14,12:32:29,2020,pid,9594,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
91,Sat,Mar,14,12:32:29,2020,pid,9591,"[ftp_jhalley] OK LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'OK', 'ffff:10.0.0.12']"
92,Sat,Mar,14,12:32:29,2020,pid,9593,"[ftp_jhalley] OK LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'OK', 'ffff:10.0.0.12']"
93,Sat,Mar,14,12:32:29,2020,pid,9595,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2019.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2019.csv"", 0', 'sec']"
94,Sat,Mar,14,12:32:29,2020,pid,9596,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2020.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2020.csv"", 0', 'sec']"
95,Sat,Mar,14,12:33:11,2020,pid,9596,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2020.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2020.csv"", 0', 'sec']"
96,Sat,Mar,14,12:33:11,2020,pid,9595,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2019.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2019.csv"", 0', 'sec']"
97,Sat,Mar,14,12:33:27,2020,pid,9595,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2019.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2019.csv"", 0', 'sec']"
98,Sat,Mar,14,12:33:46,2020,pid,9666,"CONNECT: Client ""::ffff:10.0.0.9""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.9']
99,Sat,Mar,14,12:33:46,2020,pid,9665,"[ftp_akep] OK LOGIN: Client ""::ffff:10.0.0.9""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_akep', 'OK', 'ffff:10.0.0.9']"
100,Sat,Mar,14,12:33:46,2020,pid,9667,"[ftp_akep] FAIL DOWNLOAD: Client ""::ffff:10.0.0.9"", ""/files/Reports_2020.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_akep', 'ffff:10.0.0.9', '""/files/Reports_2020.csv"", 0', 'sec']"
101,Sat,Mar,14,12:38:19,2020,pid,9971,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
102,Sat,Mar,14,12:38:19,2020,pid,9970,"[ftp_jhalley] OK LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'OK', 'ffff:10.0.0.12']"
103,Sat,Mar,14,12:38:19,2020,pid,9972,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2019.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2019.csv"", 0', 'sec']"
104,Sat,Mar,14,12:41:04,2020,pid,10214,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
105,Sat,Mar,14,12:41:04,2020,pid,10213,"[ftp_jhalley] OK LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'OK', 'ffff:10.0.0.12']"
106,Sat,Mar,14,12:41:04,2020,pid,10215,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2019.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2019.csv"", 0', 'sec']"
107,Sat,Mar,14,12:41:16,2020,pid,10231,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
108,Sat,Mar,14,12:41:16,2020,pid,10230,"[ftp_jhalley] OK LOGIN: Client ""::ffff:10.0.0.12""",5801b431,"[<*>] <*> LOGIN: Client ""::<*>:<*>""","['ftp_jhalley', 'OK', 'ffff:10.0.0.12']"
109,Sat,Mar,14,12:41:29,2020,pid,10215,"[ftp_jhalley] FAIL DOWNLOAD: Client ""::ffff:10.0.0.12"", ""/files/Reports_2019.csv"", 0.00Kbyte/sec",c81a77ad,"[<*>] FAIL DOWNLOAD: Client ""::<*>:<*>"", <*> <*>.00Kbyte/<*>","['ftp_jhalley', 'ffff:10.0.0.12', '""/files/Reports_2019.csv"", 0', 'sec']"
110,Sat,Mar,14,12:42:57,2020,pid,10323,"CONNECT: Client ""::ffff:10.0.0.12""",be5b43b9,"CONNECT: Client ""::<*>:<*>""",['ffff:10.0.0.12']
