LineId,Device,IP,DateTime,TimeZone,Content,EventId,EventTemplate,ParameterList
169,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/wp-auth-check.min.js?ver=5.3.2 HTTP/1.1"" 200 1122 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/wp-auth-check.min.js?ver=5.3.2', '1.1', '200', '1122 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
170,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-admin/js/media-upload.min.js?ver=5.3.2 HTTP/1.1"" 200 931 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-admin/js/media-upload.min.js?ver=5.3.2', '1.1', '200', '931 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
171,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/dist/editor.min.js?ver=9.7.6 HTTP/1.1"" 200 48127 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/dist/editor.min.js?ver=9.7.6', '1.1', '200', '48127 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
172,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/tinymce/plugins/compat3x/plugin.min.js?ver=4960-20190918 HTTP/1.1"" 200 2090 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/tinymce/plugins/compat3x/plugin.min.js?ver=4960-20190918', '1.1', '200', '2090 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
173,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-admin/js/svg-painter.js?ver=5.3.2 HTTP/1.1"" 200 2465 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-admin/js/svg-painter.js?ver=5.3.2', '1.1', '200', '2465 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
174,Server,127.0.0.1,14/Mar/2020:16:18:35,+0100,"GET /wp-includes/js/tinymce/tinymce.min.js?ver=4960-20190918 HTTP/1.1"" 200 124365 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/tinymce/tinymce.min.js?ver=4960-20190918', '1.1', '200', '124365 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
175,Server,127.0.0.1,14/Mar/2020:16:18:36,+0100,"GET /favicon.ico HTTP/1.1"" 404 489 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/favicon.ico', '1.1', '404', '489 ""-""', '5.0', '64', '74.0', '20100101', '74.0']"
176,Server,127.0.0.1,14/Mar/2020:16:18:36,+0100,"GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.1"" 200 15525 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/wp-includes/js/thickbox/loadingAnimation.gif', '1.1', '200', '15525 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
177,Server,127.0.0.1,14/Mar/2020:16:18:36,+0100,"GET /index.php/wp-json/wp/v2/users/me?_locale=user HTTP/1.1"" 200 1219 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/index.php/wp-json/wp/v2/users/me?_locale=user', '1.1', '200', '1219 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
178,Server,127.0.0.1,14/Mar/2020:16:18:36,+0100,"GET /index.php/wp-json/wp/v2/media/16?context=edit&_locale=user HTTP/1.1"" 200 2468 ""http://example.com/wp-admin/post.php?post=11&action=edit"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0",20f25e8a,"GET <*> HTTP/<*>.<*>"" <*> <*> <*> ""Mozilla/<*>.<*> (X11; Ubuntu; Linux x86_<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>","['/index.php/wp-json/wp/v2/media/16?context=edit&_locale=user', '1.1', '200', '2468 ""http://example.com/wp-admin/post.php?post=11&action=edit""', '5.0', '64', '74.0', '20100101', '74.0']"
